CO,DE,LO,PA,SP
-8.1,-4.8,-2.5,-2.8,-0.8
-5.0,-16.1,-1.8,-2.3,-3.4
35.7,19.9,-24.7,41.1,1.1
-5.1,-4.0,-3.4,-8.2,-1.6
-2.7,-8.1,-4.2,-2.6,-20.6
