CO,DE,LO,PA,SP
-2105.075024,176.1421633,1696.918721,-1681.881472,-1494.00884
-5.141203554,-12.17666427,8.937497042,-4.923265559,-10.15758187
-583.5469078,-1010.49672,-2278.79522,-1011.453474,-1383.54958
-16.31693525,8.715192595,24.69515654,-24.21018105,-15.68652421
-1252.339626,-2838.756864,1555.399662,-1182.191143,-2598.540726
