CO,DE,LO,PA,SP
-1931.330973,-2247.925404,4141.582985,-1124.554321,-958.3752249
-3.083162409,-9.430496534,11.23196377,-2.069837753,-3.925622637
-492.1764409,-788.5857755,-1617.547207,-621.0563337,-439.5821829
-4.467214014,-4.710797038,21.70487065,-6.611649676,-2.450724763
-37.90885423,-98.35532967,137.9671206,-26.37304316,-77.32221044
